GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	logPadj
chrI.101189	48.08754695	-0.440046562	0.299923883	-1.467194133	1.42E-01	5.17E-01	0.286871005
chrI.105976	33.19648193	0.671434846	0.319861194	2.099144441	0.03580417	0.302868581	0.518745777
chrI.108645	21.30819878	-0.637091281	0.343359109	-1.855466373	6.35E-02	3.77E-01	0.42379069
chrI.110455	30.57207164	-0.397967291	0.32472111	-1.22556643	2.20E-01	6.04E-01	0.218765687
chrI.11138	176.0227221	0.048739576	0.241814377	0.201557808	8.40E-01	9.46E-01	0.02418514
chrI.113413	160.7773598	-0.448169081	0.258742531	-1.732104418	8.33E-02	4.15E-01	0.382296751
chrI.114635	246.3385437	0.303925485	0.248584988	1.222622038	2.21E-01	0.604573562	0.218550848
chrI.119542	19.70894908	-0.52825752	0.345066676	-1.530885352	1.26E-01	4.92E-01	0.307687126
chrI.124410	9.084279976	-0.640741844	0.356053058	-1.799568434	7.19E-02	3.92E-01	0.406575909
chrI.124638	12.68007248	-0.356807304	0.355232572	-1.004432962	3.15E-01	6.80E-01	0.167458048
chrI.128092	12.06405986	-0.103966996	0.355820003	-0.292189858	7.70E-01	9.23E-01	0.03474214
chrI.129070	16.26859564	-0.005996614	0.350128985	-0.017126871	9.86E-01	9.95E-01	0.002341366
chrI.130500	39.12872937	-0.414937526	0.310209609	-1.337603717	1.81E-01	0.563272497	0.249281453
chrI.132020	16.7787839	-0.06307764	0.348965923	-0.180755874	8.57E-01	9.53E-01	0.02107523
chrI.135701	17.85099096	-0.377783782	0.346652351	-1.089805912	0.275798649	0.652219235	0.185606397
chrI.138434	228.6526791	0.101974968	0.235464106	0.433080737	6.65E-01	8.76E-01	0.057683674
chrI.139039	193.3794069	-0.262940128	0.242144031	-1.085883172	2.78E-01	0.653202395	0.184952231
chrI.1393	50.7902712	-0.037167533	0.314556134	-0.118158665	9.06E-01	0.97095745	0.012799802
chrI.141612	246.103495	-0.215699588	0.234198915	-0.921010194	3.57E-01	7.12E-01	0.147773125
chrI.143355	33.28141983	-0.322267397	0.31896036	-1.010368175	3.12E-01	6.79E-01	0.168288542
chrI.151199	176.0231037	0.249249048	0.242426651	1.028142111	3.04E-01	0.673538944	0.171637288
chrI.152028	13.91377519	-0.31537878	0.352902925	-0.893670064	3.71E-01	0.721627514	0.141686916
chrI.154765	28.81927511	0.152943884	0.325041679	0.470536223	6.38E-01	0.864858328	0.063055028
chrI.158686	81.1321651	0.537996368	0.274700469	1.958483619	5.02E-02	0.338220783	0.47079971
chrI.165637	186.1877878	-0.36770986	0.259411596	-1.417476573	1.56E-01	0.536590926	0.270356676
chrI.166166	21.10686529	-0.63504746	0.341622551	-1.858915512	6.30E-02	0.376047122	0.424757731
chrI.169033	30.74005453	-0.60953094	0.324122289	-1.880558545	0.060031995	0.366984615	0.435352143
chrI.171744	16.14291849	-0.76088146	0.351716855	-2.163335221	0.030515406	0.28175697	0.550125331
chrI.176206	13.8405974	-0.133416144	0.353548139	-0.377363445	7.06E-01	0.89524392	0.04805862
chrI.181020	28.9539426	-0.820481108	0.329413949	-2.490729706	1.27E-02	0.198283491	0.702713443
chrI.182467	65.07179186	-0.365669883	0.285143946	-1.282404511	2.00E-01	0.578787591	0.237480788
chrI.1828	44.84407813	-0.651316276	0.324515234	-2.007043765	0.044745003	0.325554553	0.487376227
chrI.183161	28.91439041	-0.150305542	0.325631563	-0.461581614	0.644381382	0.867909868	0.061525374
chrI.184677	27.27364162	0.434475365	0.329093101	1.320220219	1.87E-01	0.566502072	0.246798497
chrI.185741	71.31923402	0.534764422	0.278958792	1.917001496	0.055237742	0.353770629	0.451278226
chrI.189069	109.1424803	0.5233688	0.260021031	2.012794109	0.044136294	0.323912102	0.489572825
chrI.189481	35.54889586	-0.3586466	0.315554125	-1.136561277	0.255721735	0.633922105	0.197964104
chrI.192359	139.3013371	0.238554595	0.249628556	0.955638246	3.39E-01	0.697712509	0.156323491
chrI.198099	11.60467565	-0.325823067	0.355991127	-0.915256145	0.360057176	0.714876453	0.145769008
chrI.198464	19.26941766	0.108220479	0.342219024	0.316231627	7.52E-01	9.16E-01	0.03804912
chrI.208063	16.57562236	-0.261925461	0.348716232	-0.751113477	0.452584366	0.773638904	0.111461699
chrI.20830	317.9477812	0.200864664	0.24089359	0.833831503	4.04E-01	0.744464893	0.128155778
chrI.208624	41.91317212	-0.167572233	0.305933201	-0.547741246	5.84E-01	0.839388578	0.076036945
chrI.210897	110.2309989	0.20957263	0.258706077	0.810080044	0.417894173	0.754396621	0.122400265
chrI.214088	20.32299025	-0.185960323	0.342541342	-0.54288432	5.87E-01	0.841125601	0.075139149
chrI.217322	23.97267394	0.522669043	0.333212494	1.568575765	0.116746823	0.48221788	0.316756691
chrI.220212	143.8972327	0.901119533	0.2505066	3.597188788	3.22E-04	0.043578773	1.360725
chrI.223060	94.68482102	-0.497840604	0.267162483	-1.863437555	0.06240073	0.373862441	0.427288163
chrI.223718	28.75991808	0.520717335	0.324600924	1.604176995	0.108675044	0.467177705	0.330517891
chrI.224995	17.50995595	-0.209181108	0.346067202	-0.604452278	5.46E-01	0.819857252	0.086261757
chrI.23634	54.99713102	-0.811057086	0.296410566	-2.736262403	0.006214145	0.15443199	0.811262731
chrI.2420	83.68546005	-0.018739221	0.288504745	-0.064952903	9.48E-01	0.98529736	0.006432681
chrI.28547	189.543282	0.625100177	0.240083511	2.603678091	0.009222934	0.176736297	0.752674248
chrI.29746	41.48807118	0.037084659	0.305052091	0.121568283	9.03E-01	9.70E-01	0.013201456
chrI.30935	78.14458422	0.77060572	0.276425691	2.787750001	0.005307548	0.143989615	0.841668829
chrI.32962	38.01762223	-0.201344363	0.313343143	-0.642568275	5.21E-01	0.811072972	0.090940071
chrI.36355	23.79094281	0.124839488	0.333334348	0.374517325	7.08E-01	8.95E-01	0.048055092
chrI.39023	17.92791358	0.172433324	0.346264599	0.497981385	6.18E-01	0.856530771	0.06725703
chrI.41805	47.58008211	-0.352384103	0.299230013	-1.177636227	2.39E-01	0.616753055	0.209888691
chrI.446	292.7773642	-0.850715076	0.286812736	-2.966099368	0.00301603	0.111819524	0.95148236
chrI.48283	169.2984936	0.371008302	0.243710639	1.522331168	1.28E-01	0.495802359	0.304691411
chrI.52656	86.26408364	0.066007504	0.268168674	0.246141738	8.06E-01	0.934673155	0.029340231
chrI.56867	19.42313128	-0.042237145	0.344477527	-0.122612194	9.02E-01	0.969683614	0.013369943
chrI.58478	10.98188458	-0.850025665	0.35668846	-2.383103913	1.72E-02	2.25E-01	0.648287201
chrI.61080	15.99777568	-0.209125502	0.348922965	-0.599345766	5.49E-01	0.820844035	0.085739354
chrI.62579	12.25200881	-0.129200868	0.355053626	-0.363891136	7.16E-01	8.98E-01	0.046594363
chrI.6340	130.1925686	0.582515615	0.252412442	2.307792795	2.10E-02	2.42E-01	0.615691811
chrI.65549	20.25353389	-0.569658687	0.3441001	-1.655502826	0.097822544	0.442206399	0.354374977
chrI.68438	172.3244016	0.337695503	0.263331682	1.282396029	0.199703756	0.578787591	0.237480788
chrI.69583	110.6854205	0.353419953	0.258534525	1.367012597	1.72E-01	0.558434547	0.253027722
chrI.70840	327.3131199	0.069762792	0.233219894	0.299128822	7.65E-01	9.22E-01	0.035498918
chrI.73292	44.7248447	-0.194547334	0.301514545	-0.645233662	0.518775775	0.809970597	0.091530746
chrI.74824	21.47635403	0.094255131	0.338529724	0.278424977	0.780686149	0.924932297	0.033890055
chrI.76205	30.46070499	0.311388486	0.325818825	0.955710544	3.39E-01	0.697712509	0.156323491
chrI.79514	14.84791742	0.150359615	0.351196436	0.428135368	0.668552568	0.877106596	0.056947623
chrI.84506	27.09506456	-0.028945759	0.327583632	-0.088361433	9.30E-01	9.79E-01	0.009001483
chrI.87082	25.33716149	-0.002652246	0.331363391	-0.00800404	9.94E-01	9.99E-01	0.000594562
chrI.92517	31.58194829	-0.451573316	0.326945617	-1.381187856	0.167221208	0.552437304	0.257717002
chrI.94476	8.656216309	-0.360907714	0.355903039	-1.014061906	3.11E-01	0.676979908	0.16942422
chrI.99783	63.07429232	0.165847343	0.287709978	0.576439315	5.64E-01	0.827541136	0.082210409
chrII.100161	62.14386037	-0.674486488	0.287631464	-2.344967687	1.90E-02	0.233222666	0.632229244
chrII.101213	70.04424811	0.345135516	0.277721876	1.242737955	0.213964413	0.595937781	0.22479908
chrII.101711	49.41881943	0.434498007	0.302190562	1.437827851	1.50E-01	0.525978316	0.27903216
chrII.10560	12.06833635	-0.277263754	0.356372937	-0.778015741	0.436559733	0.767436095	0.114957778
chrII.107510	94.35302404	-0.070836155	0.268218442	-0.26409875	0.791703827	0.928622245	0.032160917
chrII.111218	11.36245281	-0.289279743	0.356593561	-0.811230979	0.417233038	0.754176674	0.122526904
chrII.113461	20.53852048	0.056886424	0.342001918	0.16633364	0.867894394	0.959118418	0.018127769
chrII.116901	159.1018814	0.628853307	0.24599985	2.556315814	1.06E-02	0.186667597	0.728931064
chrII.117208	234.1595555	0.413855895	0.237928672	1.73941161	8.20E-02	0.412378638	0.38470384
chrII.119163	29.7279509	-0.701033673	0.328487252	-2.134127488	3.28E-02	0.291447427	0.535439774
chrII.122144	65.39755293	0.104020001	0.288294886	0.36081112	7.18E-01	0.899010912	0.046235037
chrII.122565	85.22119671	-0.120942667	0.269052331	-0.449513544	6.53E-01	0.870447896	0.06025722
chrII.124829	106.4949498	0.124452353	0.26014876	0.478389182	6.32E-01	0.863855823	0.063558735
chrII.127572	25.61594924	-0.241181515	0.330655088	-0.729405122	4.66E-01	0.783578148	0.105917684
chrII.132206	44.86432476	0.009240196	0.30126769	0.030671049	9.76E-01	0.991682448	0.003627373
chrII.133795	17.82959068	-0.296609026	0.348882228	-0.85016949	3.95E-01	0.738324887	0.131752493
chrII.135711	269.4394939	0.626501454	0.24237427	2.584851332	0.009742099	0.180621305	0.743231023
chrII.137570	51.11414004	-0.048949497	0.294719011	-0.166088699	0.868087147	0.959118418	0.018127769
chrII.140353	295.0273955	0.500287149	0.248635604	2.012129968	0.044206238	0.323933119	0.489544648
chrII.141012	93.23780163	0.028183506	0.268946406	0.104792274	0.91654064	0.975528929	0.010759847
chrII.142028	31.44333906	-0.212976491	0.322518865	-0.660353592	0.509026946	0.805133559	0.094132071
chrII.143629	14.07468565	-0.165397294	0.352416156	-0.469323812	0.638838198	0.864858328	0.063055028
chrII.145798	44.18973836	-0.447676577	0.306715129	-1.45958427	0.144404365	0.520011325	0.283987198
chrII.146953	30.76107211	-0.177162372	0.322278149	-0.549718844	0.58251223	0.838685617	0.076400805
chrII.150274	10.07303642	-0.743083389	0.356497863	-2.084397879	0.037123991	0.303336296	0.518075621
chrII.151241	48.16007262	-0.110128156	0.301082303	-0.365774258	0.71453353	0.898095371	0.046677542
chrII.153703	43.03868519	-0.075224677	0.304110354	-0.247359803	0.80462978	0.934527448	0.029407938
chrII.158470	57.16616974	0.077592993	0.289691187	0.267847269	0.788816884	0.927758528	0.032565045
chrII.159715	136.4467574	0.267927477	0.252078511	1.062873137	0.287839487	0.65965403	0.18068378
chrII.161330	412.3759589	0.215419229	0.225079986	0.957078559	0.338527605	0.69750078	0.156455302
chrII.164915	115.8548762	0.416311431	0.266099512	1.564495279	0.117701301	0.48221788	0.316756691
chrII.165855	88.75618681	-0.187046247	0.282673453	-0.661704326	0.508160732	0.805133559	0.094132071
chrII.166286	16.52850962	-0.398802721	0.350642903	-1.137347192	0.255393174	0.633758292	0.198076346
chrII.170405	30.67875617	-0.029460547	0.32071432	-0.091859156	0.926809943	0.978882484	0.009269443
chrII.171273	56.95742353	0.458564374	0.289607986	1.583396854	0.11333104	0.476661785	0.321789665
chrII.172281	32.10682813	0.249916049	0.319911059	0.781204779	0.434682063	0.766222846	0.115644903
chrII.177616	11.23472614	-0.711533141	0.356304667	-1.996979569	0.045827403	0.325913622	0.486897487
chrII.17954	57.67321619	0.112683976	0.287608372	0.391796579	0.695208523	0.887433771	0.051864048
chrII.181422	46.2341102	-0.092917043	0.299650889	-0.310084322	0.756496834	0.91848612	0.036927402
chrII.182127	111.9486993	0.578141932	0.25688744	2.250565193	0.02441309	0.259671392	0.585575894
chrII.184045	43.52457623	0.365860573	0.302168308	1.210784069	0.225978172	0.609276334	0.215185691
chrII.186515	26.49710123	-0.031487531	0.329154293	-0.095661917	0.923789088	0.978523585	0.009428702
chrII.191773	193.3346699	0.426891625	0.239058776	1.785718276	0.074144885	0.39563055	0.40271018
chrII.192178	37.04001617	-0.593113247	0.318240906	-1.863724105	0.062360458	0.373862441	0.427288163
chrII.193577	234.2409916	0.951045625	0.243520441	3.905403674	9.41E-05	0.018170218	1.740639858
chrII.197388	51.00927799	-0.485391317	0.296706775	-1.635929332	0.101854378	0.452823492	0.344071051
chrII.198342	21.16153302	-0.124416147	0.342214768	-0.363561595	0.71618541	0.898267396	0.046594363
chrII.201773	141.9122491	0.404220759	0.260186001	1.553583807	0.120283724	0.485691325	0.313639654
chrII.202306	430.8973985	0.451473253	0.236472444	1.909200262	0.056236263	0.355869744	0.448708934
chrII.203119	364.3493218	0.759492592	0.235047796	3.231226186	0.001232604	0.076071277	1.118779291
chrII.206963	102.4514434	0.157753247	0.266765549	0.591355396	0.55428232	0.822157782	0.085044828
chrII.21309	79.51652688	0.211037754	0.271153017	0.778297642	0.436393565	0.767423353	0.114964989
chrII.216420	40.55225703	-0.064336685	0.311876289	-0.206289118	0.836565078	0.944092723	0.02498535
chrII.217150	398.2467098	0.203145351	0.227877746	0.891466388	0.372679016	0.722455841	0.141188693
chrII.221040	78.13669676	-0.064479171	0.289926618	-0.222398244	0.824003879	0.939578449	0.027066953
chrII.221845	21.38438724	-0.193552733	0.351416918	-0.550778073	0.581785817	0.838323986	0.076588108
chrII.226965	99.77247466	-0.681753005	0.27381698	-2.489812736	0.012781042	0.198283491	0.702713443
chrII.227312	286.665158	-0.208655771	0.229770819	-0.908103876	0.363823343	0.716405289	0.144841217
chrII.235200	24.30693608	0.419824257	0.336484711	1.247677068	0.212149343	0.593895174	0.226290203
chrII.235968	321.2018101	0.268134367	0.238351175	1.124955085	0.260608067	0.637203219	0.195722039
chrII.237543	12.92501874	-0.209889731	0.354345852	-0.59233015	0.55362953	0.822157782	0.085044828
chrII.23799	41.69777187	0.398979988	0.309117928	1.290704784	0.196806065	0.576870132	0.238921947
chrII.238136	21.35239675	-0.329668741	0.340230755	-0.968956321	0.332566983	0.691533765	0.16018661
chrII.238217	20.91113989	-0.492910988	0.340572811	-1.447299878	0.147812953	0.522539349	0.281881
chrII.238889	27.03881922	0.402574672	0.327182972	1.230426724	0.218537351	0.6020062	0.220399036
chrII.241277	60.95493409	0.089996738	0.285159766	0.315601108	0.752305296	0.916468788	0.037882321
chrII.242577	27.7365626	-0.075608644	0.329273234	-0.229622807	0.818384883	0.93826548	0.027674262
chrII.245681	78.06702451	0.170853586	0.275143367	0.620962038	0.534624601	0.815188569	0.088741919
chrII.246691	103.3099482	0.069850608	0.260599838	0.268037802	0.788670221	0.927758528	0.032565045
chrII.24735	22.98872565	-0.218292962	0.335067489	-0.651489534	0.514730531	0.808404978	0.092371021
chrII.251270	324.071445	0.851721091	0.233999561	3.639840554	2.73E-04	4.20E-02	1.37649824
chrII.254924	31.54219361	-0.456090473	0.322379147	-1.414764189	0.157137647	0.536761976	0.270218257
chrII.255874	59.93408614	0.293547056	0.285617796	1.027761785	0.304061897	0.673538944	0.171637288
chrII.256766	26.7370246	0.106983535	0.330113941	0.324080633	0.745876989	0.914636867	0.038751297
chrII.258020	31.81251203	0.080163034	0.320313609	0.250264215	0.802383028	0.933913175	0.029693498
chrII.258661	7.504022893	-0.19789047	0.35365553	-0.559557121	0.575781559	0.835722617	0.077937844
chrII.266272	26.74445517	-0.108321525	0.32839058	-0.329855764	0.74150895	0.911131481	0.040418948
chrII.267360	27.62832501	-0.269710393	0.328019664	-0.822238489	0.410941177	0.751395283	0.124131535
chrII.269606	88.8017465	-0.078992648	0.272431531	-0.289954133	0.771851328	0.923119362	0.03474214
chrII.270627	34.66852598	-0.22803411	0.315260689	-0.723319202	0.469483799	0.784476562	0.105420028
chrII.273746	22.04431057	-0.510052191	0.339577699	-1.502019102	0.133092176	0.500710614	0.300413202
chrII.275649	60.61521841	0.26463977	0.288464407	0.917408748	0.35892849	0.713865601	0.146383545
chrII.278511	267.3820712	0.586209638	0.230708464	2.540910841	0.011056411	0.187997918	0.72584696
chrII.280901	65.73941518	-0.635513212	0.291622506	-2.179232396	0.029314408	0.27939802	0.553776676
chrII.288080	169.2844826	0.180460395	0.246057594	0.733407133	0.46331015	0.783135384	0.106163153
chrII.291948	122.8073318	-0.061946914	0.257363893	-0.240697768	0.809789369	0.935967655	0.028739159
chrII.296084	40.04904528	-0.73523395	0.312579156	-2.352152842	0.018665104	0.232303571	0.633944114
chrII.29674	96.91685455	-0.435852142	0.265660654	-1.640634905	0.100873225	0.449784675	0.346995346
chrII.297836	178.0481176	0.228552227	0.241028939	0.948235629	0.343009513	0.700050333	0.154870734
chrII.298118	54.04576283	0.120950774	0.294211208	0.411101859	0.680997847	0.88267349	0.054199917
chrII.299913	18.44385332	-0.502580361	0.345616688	-1.454155363	0.145903237	0.520011325	0.283987198
chrII.301246	20.70861149	-0.092026233	0.339307904	-0.271217476	0.786223772	0.927758528	0.032565045
