GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	logPadj
chrI.101189	32.91504847	-0.74039064	0.325332792	-2.275794691	0.022858301	0.245841278	0.609345195
chrI.105976	16.84222468	-0.076503185	0.354034037	-0.216089915	0.828917661	0.97203579	0.012317744
chrI.108645	17.87289632	-0.404035742	0.354454528	-1.139880323	0.254336164	0.741975226	0.129610596
chrI.110455	24.49129688	-0.295019	0.33838527	-0.871843503	0.383293758	0.83498799	0.078319771
chrI.11138	136.8087871	0.065577776	0.221488728	0.296077262	0.767171078	0.954319715	0.020306104
chrI.113413	139.0120398	-0.147216314	0.227405735	-0.647372916	0.51739062	0.890986943	0.05012866
chrI.114635	182.7900872	0.224121958	0.208016692	1.077422954	0.281291354	0.768054297	0.114608077
chrI.119542	16.19735111	-0.353715256	0.356638292	-0.99180392	0.321293185	0.799312261	0.097283525
chrI.124410	8.855452898	-0.053873693	0.233259475	-0.230960364	0.817345594	0.97013471	0.013167957
chrI.124638	9.09405692	-0.402094113	0.357829903	-1.123701818	0.261139545	0.750174219	0.124837865
chrI.128092	9.474123713	-0.067355955	0.359489762	-0.187365435	0.851374122	0.976047805	0.010528911
chrI.129070	13.53219831	0.107187539	0.358479263	0.299006246	0.76493528	0.954319715	0.020306104
chrI.130500	33.41923885	-0.166883743	0.319471932	-0.522373724	0.601410147	0.913173356	0.039446768
chrI.132020	13.483458	0.004673622	0.358486875	0.01303708	0.989598209	0.996307562	0.001606573
chrI.135701	12.46279512	-0.514654063	0.36014844	-1.429005394	0.153002683	0.625314155	0.203901741
chrI.138434	169.8439481	0.004863028	0.210546647	0.023097151	0.981572778	0.995953535	0.001760922
chrI.139039	160.5963399	-0.073137046	0.215574986	-0.33926499	0.734410114	0.946975213	0.023661389
chrI.1393	36.48454521	-0.199553926	0.314168162	-0.635181889	0.525309794	0.894563221	0.048388962
chrI.141612	207.2537623	0.011432122	0.200643234	0.05697736	0.95456323	0.991579075	0.003672647
chrI.143355	33.39779346	0.236778813	0.317306684	0.746214388	0.455537918	0.864358588	0.063306049
chrI.151199	127.8115256	0.108847683	0.235095738	0.462993006	0.64336938	0.925478325	0.033633748
chrI.152028	14.04509997	0.146358223	0.357397722	0.409510788	0.682164852	0.935914315	0.02876391
chrI.154765	19.31285399	-0.121753479	0.347614015	-0.350254806	0.726147479	0.946970477	0.023663561
chrI.158686	54.05053322	0.23447871	0.281918846	0.831724139	0.405564672	0.846765223	0.072236987
chrI.165637	171.8273209	0.094422049	0.214879102	0.439419413	0.660357662	0.931717494	0.03071575
chrI.166166	15.80846043	-0.632601059	0.356447516	-1.774738302	0.075941108	0.464202038	0.333292957
chrI.169033	23.969822	-0.543798802	0.34201862	-1.58996841	0.111841926	0.559093851	0.252515284
chrI.171744	12.9742588	-0.584952947	0.359677052	-1.62632824	0.103879847	0.543961106	0.264432152
chrI.176206	12.10808638	0.066705331	0.359976046	0.185304916	0.852989882	0.976082308	0.010513559
chrI.181020	22.78341145	-0.70889109	0.344301168	-2.058927349	0.039501199	0.334651383	0.475407376
chrI.182467	49.40825843	-0.410010656	0.294002358	-1.394582883	0.16314166	0.634819561	0.197349699
chrI.1828	43.90101921	-0.077389025	0.29850654	-0.259254035	0.795439242	0.95933469	0.018029851
chrI.183161	19.78462802	-0.387224412	0.35076287	-1.103949264	0.269615147	0.75932867	0.119570202
chrI.184677	17.83589555	0.121074623	0.351395117	0.344554084	0.73042963	0.946970477	0.023663561
chrI.185741	52.09763665	0.420610485	0.28550041	1.473239515	0.140686463	0.615441265	0.210813388
chrI.189069	105.8389416	0.989782728	0.235983732	4.194283735	2.74E-05	0.001869815	2.728201443
chrI.189481	28.27081457	-0.277419484	0.329589709	-0.841711608	0.399949399	0.845448239	0.072912976
chrI.192359	117.8456934	0.451575895	0.228958992	1.972300325	0.048575333	0.36998467	0.43181627
chrI.198099	10.87581149	-0.001344813	0.360280655	-0.003732681	0.997021758	0.998911918	0.000472805
chrI.198464	11.94279791	-0.258121552	0.360028067	-0.716948416	0.473405926	0.875556192	0.057715976
chrI.208063	13.2424769	-0.176635222	0.358919462	-0.492130521	0.622627077	0.918118336	0.037101339
chrI.20830	246.0295152	0.216599291	0.204249939	1.060461965	0.288934485	0.772424264	0.112144092
chrI.208624	40.82813986	0.328820351	0.301434495	1.090851763	0.275338115	0.763265074	0.11732461
chrI.210897	86.85064527	0.259376672	0.253308299	1.023956475	0.305855834	0.787392392	0.103808786
chrI.214088	18.48683043	0.119703658	0.349122054	0.342870513	0.731695876	0.946970477	0.023663561
chrI.217322	14.84250645	0.132959744	0.357054944	0.372378948	0.709610726	0.942318781	0.025802153
chrI.220212	116.4118781	1.016401281	0.232355231	4.374342154	1.22E-05	0.000991586	3.003669465
